fecha;propiedad;servicio;cantidad;coste unidad;total servicio;proveedor;factura compra a reclasificar
01/04/2026;ES-01-01-042;LIMPIEZA;3,5;9;31,5
01/04/2026;ES-01-01-044;LIMPIEZA;2,5;9;22,5
01/04/2026;ES-01-01-043;LIMPIEZA;2,5;9;22,5
01/04/2026;ES-01-01-055;LIMPIEZA;2,5;9;22,5
01/04/2026;ES-01-01-010;LIMPIEZA;1;9;9
01/04/2026;ES-01-01-018;LIMPIEZA;1,5;9;13,5
01/04/2026;ES-01-01-035;LIMPIEZA;2;9;18
01/04/2026;ES-01-01-007;LIMPIEZA;2;9;18
01/04/2026;ES-01-01-005;LIMPIEZA;1,5;9;13,5
01/04/2026;ES-01-01-000;LIMPIEZA;2;9;18
02/04/2026;ES-01-01-021;LIMPIEZA;5;9;45
02/04/2026;ES-01-01-041;LIMPIEZA;4;9;36
02/04/2026;ES-01-01-030;LIMPIEZA;3,5;9;31,5
02/04/2026;ES-01-01-032;LIMPIEZA;3;9;27
02/04/2026;ES-01-02-009;LIMPIEZA;2,5;9;22,5
02/04/2026;ES-01-01-031;LIMPIEZA;3,5;9;31,5
02/04/2026;ES-01-01-049;LIMPIEZA;2,5;9;22,5
02/04/2026;ES-01-01-001;LIMPIEZA;2;9;18
02/04/2026;ES-01-01-014;LIMPIEZA;2,5;9;22,5
02/04/2026;ES-01-01-016;LIMPIEZA;2;9;18
02/04/2026;ES-01-01-006;LIMPIEZA;2;9;18
02/04/2026;ES-01-01-046;LIMPIEZA;2;9;18
02/04/2026;ES-01-01-039;LIMPIEZA;2;9;18
03/04/2026;ES-01-01-023;LIMPIEZA;4;9;36
03/04/2026;ES-01-01-027;LIMPIEZA;3;9;27
03/04/2026;ES-01-01-028;LIMPIEZA;2;9;18
03/04/2026;ES-01-01-033;LIMPIEZA;2;9;18
03/04/2026;ES-01-01-003;LIMPIEZA;1;9;9
03/04/2026;ES-01-01-045;LIMPIEZA;2;9;18
03/04/2026;ES-01-01-005;LIMPIEZA;2,5;9;22,5
03/04/2026;ES-01-01-026;LIMPIEZA;2,5;9;22,5
03/04/2026;ES-01-01-050;LIMPIEZA;1,5;9;13,5
03/04/2026;ES-01-01-000;LIMPIEZA;2;9;18
03/04/2026;ES-01-01-002;LIMPIEZA;1,5;9;13,5
06/04/2026;ES-01-01-038;LIMPIEZA;4;9;36
06/04/2026;ES-01-01-015;LIMPIEZA;3,5;9;31,5
06/04/2026;ES-01-01-024;LIMPIEZA;4,5;9;40,5
06/04/2026;ES-01-01-029;LIMPIEZA;3,5;9;31,5
06/04/2026;ES-01-01-051;LIMPIEZA;4;9;36
06/04/2026;ES-01-01-008;LIMPIEZA;2;9;18
06/04/2026;ES-01-01-040;LIMPIEZA;2;9;18
06/04/2026;ES-01-01-047;LIMPIEZA;1,5;9;13,5
06/04/2026;ES-01-01-048;LIMPIEZA;2;9;18
06/04/2026;ES-01-01-017;LIMPIEZA;1;9;9
06/04/2026;ES-01-01-004;LIMPIEZA;2;9;18
07/04/2026;ES-01-01-011;LIMPIEZA;4,5;9;40,5
07/04/2026;ES-01-01-034;LIMPIEZA;3,5;9;31,5
07/04/2026;ES-01-01-012;LIMPIEZA;3;9;27
07/04/2026;ES-01-01-013;LIMPIEZA;3,5;9;31,5
07/04/2026;ES-01-01-025;LIMPIEZA;3;9;27
07/04/2026;ES-01-01-021;LIMPIEZA;11;9;99
07/04/2026;ES-01-01-036;LIMPIEZA;3,5;9;31,5
07/04/2026;ES-01-01-020;LIMPIEZA;3,5;9;31,5
07/04/2026;ES-01-01-022;LIMPIEZA;3,5;9;31,5
07/04/2026;ES-01-01-000;LIMPIEZA;2;9;18
07/04/2026;ES-01-01-054;LIMPIEZA;1,5;9;13,5
07/04/2026;ES-01-01-005;LIMPIEZA;1,5;9;13,5
08/04/2026;ES-01-01-009;LIMPIEZA;2;9;18
08/04/2026;ES-01-01-019;LIMPIEZA;3;9;27
08/04/2026;ES-01-01-037;LIMPIEZA;3,5;9;31,5
08/04/2026;ES-01-01-002;LIMPIEZA;2,5;9;22,5
08/04/2026;ES-01-01-053;LIMPIEZA;3;9;27
08/04/2026;ES-01-01-052;LIMPIEZA;2,5;9;22,5
08/04/2026;ES-01-01-042;LIMPIEZA;3,5;9;31,5
08/04/2026;ES-01-01-044;LIMPIEZA;2,5;9;22,5
08/04/2026;ES-01-01-043;LIMPIEZA;2,5;9;22,5
08/04/2026;ES-01-01-055;LIMPIEZA;2,5;9;22,5
08/04/2026;ES-01-01-010;LIMPIEZA;1;9;9
08/04/2026;ES-01-01-018;LIMPIEZA;1,5;9;13,5
08/04/2026;ES-01-01-035;LIMPIEZA;2;9;18
08/04/2026;ES-01-01-007;LIMPIEZA;2;9;18
09/04/2026;ES-01-01-021;LIMPIEZA;5;9;45
09/04/2026;ES-01-01-041;LIMPIEZA;4;9;36
09/04/2026;ES-01-01-030;LIMPIEZA;3,5;9;31,5
09/04/2026;ES-01-01-032;LIMPIEZA;3;9;27
09/04/2026;ES-01-02-009;LIMPIEZA;2,5;9;22,5
09/04/2026;ES-01-01-031;LIMPIEZA;3,5;9;31,5
09/04/2026;ES-01-01-049;LIMPIEZA;2,5;9;22,5
09/04/2026;ES-01-01-001;LIMPIEZA;2;9;18
09/04/2026;ES-01-01-014;LIMPIEZA;2,5;9;22,5
09/04/2026;ES-01-01-016;LIMPIEZA;2;9;18
09/04/2026;ES-01-01-006;LIMPIEZA;2;9;18
09/04/2026;ES-01-01-046;LIMPIEZA;2;9;18
